
26/11/16 10:09:04 PM | error loadView general |  | response 200
26/11/16 10:11:24 PM | error loadView general |  | response 200
26/11/16 10:11:49 PM | error loadView general |  | response 200
26/11/16 10:12:19 PM | error loadView general |  | response 200
26/11/16 11:14:43 PM | error loadView general | products/list_products/<br /><b>Notice</b>:  Use of undefined constant PRODUCTS_CSS_PATH - assumed 'PRODUCTS_CSS_PATH' in <b>/var/www/html/Gamebets/modules/products/view/list_products.php</b> on line <b>3< | response 400
26/11/16 11:14:43 PM | error loadView general | products/list_products/<br /><b>Notice</b>:  Use of undefined constant PRODUCTS_JS_PATH - assumed 'PRODUCTS_JS_PATH' in <b>/var/www/html/Gamebets/modules/products/view/list_products.php</b> on line <b>1< | response 400
26/11/16 11:14:43 PM | error loadView general | products/list_products/<br /><b>Notice</b>:  Use of undefined constant PRODUCTS_JS_PATH - assumed 'PRODUCTS_JS_PATH' in <b>/var/www/html/Gamebets/modules/products/view/list_products.php</b> on line <b>2< | response 400
26/11/16 11:14:49 PM | error loadView general | products/list_products/<br /><b>Notice</b>:  Use of undefined constant PRODUCTS_CSS_PATH - assumed 'PRODUCTS_CSS_PATH' in <b>/var/www/html/Gamebets/modules/products/view/list_products.php</b> on line <b>3< | response 400
26/11/16 11:14:49 PM | error loadView general | view | response 400
26/11/16 11:16:21 PM | error loadView general | view | response 400
26/11/16 11:17:33 PM | error loadView general | media | response 400
26/11/16 11:17:48 PM | error loadView general | view | response 400
26/11/16 11:19:01 PM | error loadView general | view | response 400
26/11/16 11:19:01 PM | error loadView general | media | response 400
26/11/16 11:20:08 PM | error loadView general | view | response 400
26/11/16 11:20:09 PM | error loadView general | media | response 400
26/11/16 11:22:11 PM | error loadView general | view | response 400
26/11/16 11:22:31 PM | error loadView general | view | response 400
26/11/16 11:23:39 PM | error loadView general | view | response 400
26/11/16 11:24:25 PM | error loadView general | view | response 400
26/11/16 11:24:28 PM | error loadView general | view | response 400
26/11/16 11:24:32 PM | error loadView general | view | response 400
26/11/16 11:24:38 PM | error loadView general | view | response 400
26/11/16 11:24:47 PM | error loadView general | view | response 400
26/11/16 11:24:48 PM | error loadView general | view | response 400
26/11/16 11:24:52 PM | error loadView general | view | response 400
26/11/16 11:24:55 PM | error loadView general | view | response 400
26/11/16 11:24:56 PM | error loadView general | view | response 400
26/11/16 11:24:57 PM | error loadView general | view | response 400
26/11/16 11:24:58 PM | error loadView general | view | response 400
26/11/16 11:24:59 PM | error loadView general | view | response 400
26/11/16 11:25:00 PM | error loadView general | view | response 400
26/11/16 11:26:12 PM | error loadView general | view | response 400
26/11/16 11:28:51 PM | error loadView general | view | response 400
26/11/16 11:30:01 PM | error loadView general | view | response 400
26/11/16 11:30:18 PM | error loadView general | view | response 400
26/11/16 11:30:50 PM | error loadView general | view | response 400
27/11/16 01:02:56 AM | error loadView general | view | response 400
27/11/16 01:03:32 AM | error loadView general | view | response 400
27/11/16 01:06:17 AM | error loadView general | view | response 400
27/11/16 01:07:17 AM | error loadView general | view | response 400
27/11/16 01:07:38 AM | error loadView general | view | response 400
27/11/16 01:07:54 AM | error loadView general | view | response 400
27/11/16 01:08:44 AM | error loadView general | view | response 400
27/11/16 01:14:15 AM | error loadView general | view | response 400
27/11/16 01:14:51 AM | error loadView general | view | response 400
27/11/16 01:15:42 AM | error loadView general | view | response 400
27/11/16 01:15:47 AM | error loadView general | view | response 400
27/11/16 01:16:29 AM | error loadView general | view | response 400
27/11/16 01:17:35 AM | error loadView general | view | response 400
27/11/16 01:17:38 AM | error loadView general | view | response 400
27/11/16 01:21:48 AM | error loadView general | view | response 400
27/11/16 01:22:34 AM | error loadView general | view | response 400
27/11/16 01:22:36 AM | error loadView general | view | response 400
27/11/16 01:23:03 AM | error loadView general | view | response 400
27/11/16 01:23:04 AM | error loadView general | view | response 400
27/11/16 01:24:08 AM | error loadView general | view | response 400
27/11/16 01:25:06 AM | error loadView general | view | response 400
27/11/16 01:28:59 AM | error loadView general | view | response 400
27/11/16 01:29:59 AM | error loadView general | view | response 400
27/11/16 01:31:51 AM | error loadView general | view | response 400
27/11/16 01:32:16 AM | error loadView general | view | response 400
27/11/16 01:33:25 AM | error loadView general | view | response 400
27/11/16 01:35:50 AM | error loadView general | view | response 400
27/11/16 01:36:17 AM | error loadView general | view | response 400
27/11/16 01:38:26 AM | error loadView general | view | response 400
27/11/16 02:03:47 AM | error loadView general | view | response 400
27/11/16 02:03:59 AM | error loadView general | view | response 400
27/11/16 02:04:05 AM | error loadView general | view | response 400
27/11/16 02:04:07 AM | error loadView general | view | response 400
27/11/16 02:04:12 AM | error loadView general | view | response 400
27/11/16 11:14:49 AM | error loadView general | view | response 400
27/11/16 11:21:12 AM | error loadView general | view | response 400
27/11/16 11:21:25 AM | error loadView general | view | response 400
27/11/16 11:23:33 AM | error loadView general | view | response 400
27/11/16 11:23:45 AM | error loadView general | view | response 400
27/11/16 11:23:49 AM | error loadView general | view | response 400
27/11/16 11:23:50 AM | error loadView general | view | response 400
27/11/16 11:23:52 AM | error loadView general | view | response 400
27/11/16 11:24:16 AM | error loadView general | view | response 400
27/11/16 11:29:39 AM | error loadView general | view | response 400
27/11/16 11:29:51 AM | error loadView general | view | response 400
27/11/16 11:43:00 AM | error loadView general | view | response 400
27/11/16 11:43:02 AM | error loadView general | view | response 400
27/11/16 11:50:07 AM | error loadView general | view | response 400
27/11/16 12:01:30 PM | ERROR - 404 NO DATA |  | response 200
27/11/16 12:24:48 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:26:25 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:26:35 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:29:15 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:29:45 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:32:08 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:32:08 PM | error loadView general | products/list_products | response 400
27/11/16 12:32:19 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:32:39 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:34:07 PM | error loadView general | products/list_products/module/products/view | response 400
27/11/16 12:49:57 PM | ERROR: [4096] Object of class mysqli_result could not be converted to string
Unknown Error on line 31 in file /var/www/html/Gamebets/modules/products/model/dao/products_dao.class.singleton.php
 | products | response 200
27/11/16 12:49:59 PM | ERROR: [4096] Object of class mysqli_result could not be converted to string
Unknown Error on line 31 in file /var/www/html/Gamebets/modules/products/model/dao/products_dao.class.singleton.php
 | products | response 200
27/11/16 12:50:43 PM | ERROR: [4096] Object of class mysqli_result could not be converted to string
Unknown Error on line 31 in file /var/www/html/Gamebets/modules/products/model/dao/products_dao.class.singleton.php
 | products | response 200
27/11/16 02:14:31 PM | error loadView general | main | response 400
